mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_border_count,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
65.43572187423706,6.033551572417728,0.06313856442769368,0.043548374359206714,0,128,2,800,1,0.05,"{'bagging_temperature': 0, 'border_count': 128, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-30795.110533572195,-31980.679241358877,-31646.62195125548,-31474.13724206218,499.13693605387033,31
63.24410239855448,7.798693990818943,0.28970591227213544,0.2478358558449118,0,128,2,800,1,0.01,"{'bagging_temperature': 0, 'border_count': 128, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-35484.642416470735,-36809.117917628915,-35957.60676705302,-36083.789033717556,548.0269528697189,52
79.42547392845154,5.838508026289993,0.08832399050394694,0.08033088795954582,0,128,4,800,1,0.1,"{'bagging_temperature': 0, 'border_count': 128, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-29565.457161328628,-30568.975097842613,-30303.014892695857,-30145.81571728903,424.49636652372004,7
93.80782111485799,1.7458309635413145,0.08493733406066895,0.03963791998132704,0,128,4,800,1,0.05,"{'bagging_temperature': 0, 'border_count': 128, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-29462.99854575298,-30372.13681927637,-30075.70748359563,-29970.28094954166,378.5667406224402,1
78.58217708269756,6.492012662710122,0.1260677178700765,0.0809783842217674,0,128,4,800,1,0.01,"{'bagging_temperature': 0, 'border_count': 128, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-31325.838829900902,-32660.78896954963,-32106.73178112515,-32031.1198601919,547.6074267681502,40
247.70913179715475,2.23751888150807,0.09686803817749023,0.03584054540272252,0,128,10,800,1,0.1,"{'bagging_temperature': 0, 'border_count': 128, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-31078.251058523914,-32524.720707237822,-32272.899263287305,-31958.62367634968,630.9492687326377,37
254.62220470110574,3.1842786520407556,0.08011341094970703,0.08637098868855762,0,128,10,800,1,0.05,"{'bagging_temperature': 0, 'border_count': 128, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-30428.33235707298,-31860.926302268887,-31326.24417823113,-31205.167612524336,591.0871362867501,25
239.39629713694254,13.765602902505456,0.1222991148630778,0.13749477220251405,0,128,10,800,1,0.01,"{'bagging_temperature': 0, 'border_count': 128, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-30041.910413772952,-31577.2121482768,-31099.810555344895,-30906.311039131553,641.5446989227024,16
61.41556239128113,3.014973138836528,0.034739176432291664,0.024945788091403496,1,64,2,800,1,0.1,"{'bagging_temperature': 1, 'border_count': 64, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-30300.640076878954,-31293.06493337971,-31126.837328033085,-30906.84744609725,433.9918855353122,19
62.57065359751383,7.55773377251623,0.3356107870737712,0.30652716093814586,1,64,2,800,1,0.05,"{'bagging_temperature': 1, 'border_count': 64, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-30940.53562209931,-31896.156901041908,-31743.71045058045,-31526.800991240554,419.1978787758958,34
