mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
966.3075535297394,29.41082290744681,0.14950108528137207,0.03958916938200052,2,10000,0.03,"{'depth': 2, 'iterations': 10000, 'learning_rate': 0.03}",-29570.22391065802,-30828.24187705634,-30340.439246862392,-30246.30167819225,517.8794662348799,16
922.3764797051748,10.570191582134315,0.15246129035949707,0.07979178737533314,2,10000,0.01,"{'depth': 2, 'iterations': 10000, 'learning_rate': 0.01}",-29747.4028448763,-31176.26063800225,-30709.154590138674,-30544.27269100574,594.8659113561949,28
1101.7416919867198,57.76413365504238,0.14534489313761392,0.1022902071212869,3,10000,0.1,"{'depth': 3, 'iterations': 10000, 'learning_rate': 0.1}",-29571.206041934674,-30961.00751402642,-30550.11798609655,-30360.77718068588,582.9662588305124,25
1047.2603900432587,43.66795596188304,0.09395400683085124,0.09672321905280999,3,10000,0.08,"{'depth': 3, 'iterations': 10000, 'learning_rate': 0.08}",-29551.502060953626,-30902.113557535853,-30457.64023815635,-30303.751952215276,562.0196064714183,21
1043.1776759624481,5.592845081599825,0.2679068247477214,0.22786919127623337,3,10000,0.06,"{'depth': 3, 'iterations': 10000, 'learning_rate': 0.06}",-29448.940114390145,-30740.289447082847,-30331.04923380699,-30173.426265093327,538.8441487486913,12
1068.5212581952412,34.96339364613551,0.25023913383483887,0.20118609736071644,3,10000,0.05,"{'depth': 3, 'iterations': 10000, 'learning_rate': 0.05}",-29269.52272689817,-30693.510434042502,-30171.71359810863,-30044.91558634977,588.2139913127106,9
1097.632124265035,39.90256247866022,0.23499504725138345,0.1308572492285802,3,10000,0.03,"{'depth': 3, 'iterations': 10000, 'learning_rate': 0.03}",-29256.525843616557,-30505.878503582408,-30098.357227384924,-29953.58719152796,520.2174479340064,5
1049.9950227737427,11.374251064391737,0.28725139300028485,0.12769671607443955,3,10000,0.01,"{'depth': 3, 'iterations': 10000, 'learning_rate': 0.01}",-29242.781879894384,-30574.894432752586,-30034.566594292133,-29950.74763564637,547.0528169149935,4
1356.1925121148427,58.39220822785438,0.4875771204630534,0.45388605075007155,4,10000,0.1,"{'depth': 4, 'iterations': 10000, 'learning_rate': 0.1}",-29859.943330230057,-31029.963467281035,-30515.217038071336,-30468.37461186081,478.805764338849,26
1427.8859209219615,85.58116982733883,0.41266854604085285,0.49198180713054496,4,10000,0.08,"{'depth': 4, 'iterations': 10000, 'learning_rate': 0.08}",-29626.63622372948,-30804.704630163615,-30469.51055391854,-30300.283802603877,495.6070772833051,19
1278.3663813273113,21.205070096459135,0.21604164441426596,0.13769768051209222,4,10000,0.06,"{'depth': 4, 'iterations': 10000, 'learning_rate': 0.06}",-29476.955734400595,-30796.961594289452,-30287.94404815938,-30187.287125616476,543.5701301439625,14
2143.6793731848397,555.5154645034555,0.8610021273295084,0.12063205108457427,4,10000,0.05,"{'depth': 4, 'iterations': 10000, 'learning_rate': 0.05}",-29423.976893713272,-30614.130091922463,-30345.352410363226,-30127.819798666318,509.64463872104,10
2611.5411791006723,42.33967462680744,0.5454312960306803,0.18323363981606824,4,10000,0.03,"{'depth': 4, 'iterations': 10000, 'learning_rate': 0.03}",-29316.714659207544,-30464.969988732348,-30118.432219069244,-29966.70562233638,480.89381749864623,6
2624.782190879186,94.6551179362917,0.3204403718312581,0.0997293801793169,4,10000,0.01,"{'depth': 4, 'iterations': 10000, 'learning_rate': 0.01}",-29090.94377475586,-30373.49365897826,-29914.67785391005,-29793.03842921472,530.6164111106257,2
3105.8261472384133,43.8702299116868,0.6931447982788086,0.19971399617480257,5,10000,0.1,"{'depth': 5, 'iterations': 10000, 'learning_rate': 0.1}",-29974.467077292647,-31244.05916976346,-30619.22583212937,-30612.584026395158,518.3300785559087,30
3130.440867582957,31.1028726601599,0.7770048777262369,0.43712832968232973,5,10000,0.08,"{'depth': 5, 'iterations': 10000, 'learning_rate': 0.08}",-29721.897090637904,-30984.128878855816,-30362.049139976763,-30356.025036490162,515.3215754355463,22
3320.104916334152,50.481956727805404,0.42275627454121906,0.19039979639789356,5,10000,0.06,"{'depth': 5, 'iterations': 10000, 'learning_rate': 0.06}",-29497.024779308846,-30870.470152601596,-30352.890354732095,-30240.128428880842,566.3476478254192,15
